#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 05 05 19 00 180  8.8  9.8    MM    MM    MM  MM 1011.7  12.3    MM   9.3   MM +1.5    MM
2017 05 05 18 00 170  9.3  9.8    MM    MM    MM  MM 1011.2  11.9    MM  10.0   MM +1.4    MM
2017 05 05 17 00 170  6.7  7.2    MM    MM    MM  MM 1010.9  11.6    MM  11.3   MM +1.7    MM
2017 05 05 16 00 180  9.3  9.8    MM    MM    MM  MM 1010.2  11.5    MM  11.2   MM +1.7    MM
2017 05 05 15 00 180  9.8 10.8    MM    MM    MM  MM 1009.8  11.4    MM  10.4   MM +2.6    MM
2017 05 05 14 00 180  8.8  9.3    MM    MM    MM  MM 1009.2  11.4    MM  10.1   MM +2.5    MM
2017 05 05 13 00 170  9.3 10.3    MM    MM    MM  MM 1008.5  11.7    MM  10.1   MM +2.6    MM
2017 05 05 12 00 180 11.3 12.4    MM    MM    MM  MM 1007.2  12.1    MM  10.6   MM +1.3    MM
2017 05 05 11 00 180  8.8  9.3    MM    MM    MM  MM 1006.7  12.0    MM  11.4   MM +1.1    MM
2017 05 05 10 00 170  5.7  5.7    MM    MM    MM  MM 1005.9  12.4    MM  12.4   MM -0.0    MM
2017 05 05 09 00 180  7.2  7.2    MM    MM    MM  MM 1005.9  12.4    MM  12.4   MM -0.4    MM
2017 05 05 08 00 160  3.6  4.1    MM    MM    MM  MM 1005.6  14.8    MM  14.8   MM -0.8    MM
2017 05 05 07 00 170  2.6  3.1    MM    MM    MM  MM 1006.0  13.6    MM  13.6   MM -1.0    MM
2017 05 05 06 00  MM  0.0  0.0    MM    MM    MM  MM 1006.3  13.8    MM  13.8   MM -1.4    MM
2017 05 05 05 00  40  5.1  5.1    MM    MM    MM  MM 1006.4  15.1    MM  15.1   MM -1.4    MM
2017 05 05 04 00  40  3.1  3.1    MM    MM    MM  MM 1007.0  14.3    MM  14.3   MM -4.3    MM
2017 05 05 03 00 320  4.1  4.6    MM    MM    MM  MM 1007.7  15.2    MM  14.1   MM -0.9    MM
2017 05 05 02 00  80  3.6  5.1    MM    MM    MM  MM 1007.8  16.7    MM  15.8   MM -0.8    MM
2017 05 05 01 00 230  4.6  6.2    MM    MM    MM  MM 1011.3  14.7    MM  13.5   MM +2.3    MM
2017 05 05 00 00  40  5.1  5.1    MM    MM    MM  MM 1008.6  15.1    MM  12.2   MM -2.0    MM
2017 05 04 23 00  30  4.1  4.6    MM    MM    MM  MM 1008.6  14.7    MM  11.8   MM -3.3    MM
2017 05 04 22 00  20  6.7  7.2    MM    MM    MM  MM 1009.0  15.1    MM  11.7   MM -3.8    MM
2017 05 04 21 00  30  6.2  6.7    MM    MM    MM  MM 1010.6  14.1    MM  12.0   MM -2.8    MM
2017 05 04 20 00  30  3.6  3.6    MM    MM    MM  MM 1011.9  13.1    MM  13.1   MM -1.9    MM
2017 05 04 19 00  40  2.6  2.6    MM    MM    MM  MM 1012.8  12.7    MM  12.7   MM -1.4    MM
2017 05 04 18 00  30  2.6  2.6    MM    MM    MM  MM 1013.4  11.8    MM  11.8   MM -0.9    MM
2017 05 04 17 00  40  4.1  4.1    MM    MM    MM  MM 1013.8  11.5    MM  11.5   MM -0.4    MM
2017 05 04 16 00  20  3.1  3.1    MM    MM    MM  MM 1014.2  10.9    MM  10.9   MM +0.0    MM
2017 05 04 15 00  30  4.1  4.6    MM    MM    MM  MM 1014.3  11.0    MM  11.0   MM -0.3    MM
2017 05 04 14 00 360  3.6  3.6    MM    MM    MM  MM 1014.2  11.0    MM  11.0   MM -0.9    MM
2017 05 04 13 00  10  4.6  5.1    MM    MM    MM  MM 1014.3  11.0    MM  11.0   MM -1.1    MM
